id,name,category_id,category_name,category_url,price,original_price,image_url,product_url,in_stock,page
192,Lia Agarbatti (18N),89,Puja Essentials,https://rasanmart.com/product-category/89,30,,https://rasanmart.com/images/backend_images/products/small/lia-rainbow.gif,https://rasanmart.com/product-details/192,True,54
448,Johnson's Baby Lotion 100ml,87,Baby Care,https://rasanmart.com/product-category/87,198,,https://rasanmart.com/images/backend_images/products/small/85577.jpg,https://rasanmart.com/product-details/448,True,54
1472,Chana Dal (Split Bengal Gram) 1Kg,10,Dal & Pulses,https://rasanmart.com/product-category/10,152,,https://rasanmart.com/images/backend_images/products/small/95161.jpeg,https://rasanmart.com/product-details/1472,True,54
193,Patanjali Aloe Vera Gel 150ml,86,Personal Care,https://rasanmart.com/product-category/86,170,,https://rasanmart.com/images/backend_images/products/small/patanjali-saundarya-aoie-ve.jpg,https://rasanmart.com/product-details/193,True,54
449,Everest Dry Ginger 100 gm,9,Masala & Spices,https://rasanmart.com/product-category/9,244,,https://rasanmart.com/images/backend_images/products/small/everest-dry-ginger-100-gm.jpg,https://rasanmart.com/product-details/449,True,54
194,Patanjali Saundarya Face Wash 100gm,86,Personal Care,https://rasanmart.com/product-category/86,170,,https://rasanmart.com/images/backend_images/products/small/patanjali-saundarya-face-wa.gif,https://rasanmart.com/product-details/194,True,54
450,Everest White Pepper 50 gm,9,Masala & Spices,https://rasanmart.com/product-category/9,300,,https://rasanmart.com/images/backend_images/products/small/everest-white-pepper.jpg,https://rasanmart.com/product-details/450,True,54
1474,Druk Vinegar 700ml,15,"Tea, Coffee & Beverage",https://rasanmart.com/product-category/15,100,,https://rasanmart.com/images/backend_images/products/small/31826.jpeg,https://rasanmart.com/product-details/1474,True,54
195,Tokla Tea 500g,15,"Tea, Coffee & Beverage",https://rasanmart.com/product-category/15,295,300,https://rasanmart.com/images/backend_images/products/small/37-1-1.jpg,https://rasanmart.com/product-details/195,True,54
196,Pepsodent Herbal Paste 175gm,86,Personal Care,https://rasanmart.com/product-category/86,130,,https://rasanmart.com/images/backend_images/products/small/23491.gif,https://rasanmart.com/product-details/196,True,54
452,Bikaji Baat Cheet Papad 800 gm,91,Grocery,https://rasanmart.com/product-category/91,565,,https://rasanmart.com/images/backend_images/products/small/41-1-1.jpg,https://rasanmart.com/product-details/452,True,54
1732,Kissan MIx Fruit Jam 500gm,16,"Ketchup, Spreads & Jams",https://rasanmart.com/product-category/16,304,,https://rasanmart.com/images/backend_images/products/small/25-4.jpg,https://rasanmart.com/product-details/1732,True,54
197,Pepsodent Germi Check 170gm,86,Personal Care,https://rasanmart.com/product-category/86,125,,https://rasanmart.com/images/backend_images/products/small/3168.gif,https://rasanmart.com/product-details/197,True,54
453,Kalo Noon ( Black Salt SM 200gm,14,Sugar & Salt,https://rasanmart.com/product-category/14,40,50,https://rasanmart.com/images/backend_images/products/small/black-salt.jpg,https://rasanmart.com/product-details/453,True,54
965,Nilon's Mango Pickle 500gm,32,Pickles,https://rasanmart.com/product-category/32,235,,https://rasanmart.com/images/backend_images/products/small/Nilpns-Mango-Pickel.jpg,https://rasanmart.com/product-details/965,True,54
1477,Druk Tomato Puree 450gm,16,"Ketchup, Spreads & Jams",https://rasanmart.com/product-category/16,145,,https://rasanmart.com/images/backend_images/products/small/85900.jpeg,https://rasanmart.com/product-details/1477,True,54
198,Colgate Max Fresh Gel 70gm,86,Personal Care,https://rasanmart.com/product-category/86,90,,https://rasanmart.com/images/backend_images/products/small/colgate-maxfresh.gif,https://rasanmart.com/product-details/198,True,54
